"dttm","vale1","vole"
"2024-11-22","270.82","6"
"2024-11-22","270.82","0"
"2024-11-22","270.82","0"
"2024-11-22","270.82","0"
"2024-11-22","270.82","0"
"2024-11-22","270.82","0"
"2024-11-22","270.82","0"
"2024-11-22","270.82","0"
"2024-11-22","270.82","0"
"2024-11-22","270.82","0"
"2024-11-22","270.82","0"
"2024-11-22","270.82","0"
"2024-11-22","270.82","0"
"2024-11-22","270.82","0"
"2024-11-22","272.42","1"
"2024-11-22","272.42","0"
"2024-11-22","272.42","0"
"2024-11-22","272.42","0"
"2024-11-22","272.42","0"
"2024-11-22","272.42","0"
"2024-11-22","272.42","0"
"2024-11-22","272.42","0"
"2024-11-22","272.42","0"
"2024-11-22","272.42","0"
"2024-11-22","272.42","0"
"2024-11-22","272.42","0"
"2024-11-22","272.42","0"
"2024-11-22","272.42","0"
"2024-11-22","272.42","0"
"2024-11-22","272.42","0"
"2024-11-22","272.42","0"
"2024-11-22","272.42","0"
"2024-11-22","272.42","0"
"2024-11-22","272.42","0"
"2024-11-22","272.42","0"
"2024-11-22","272.42","0"
"2024-11-22","272.42","0"
"2024-11-22","272.42","0"
"2024-11-22","272.42","0"
"2024-11-22","272.42","0"
"2024-11-22","272.42","0"
"2024-11-22","272.42","0"
"2024-11-22","272.42","0"
"2024-11-22","272.42","0"
"2024-11-22","272.42","0"
"2024-11-22","272.42","0"
"2024-11-22","272.42","0"
"2024-11-22","272.42","0"
"2024-11-22","272.42","0"
"2024-11-22","272.42","0"
"2024-11-22","272.42","0"
"2024-11-22","272.42","0"
"2024-11-22","272.42","0"
"2024-11-22","272.42","0"
"2024-11-22","272.42","0"
"2024-11-22","272.42","0"
"2024-11-22","272.42","0"
"2024-11-22","272.42","0"
"2024-11-22","272.42","0"
"2024-11-22","272.42","0"
"2024-11-22","272.42","0"
"2024-11-22","272.42","0"
"2024-11-22","272.42","0"
"2024-11-22","272.42","0"
"2024-11-22","272.42","0"
"2024-11-22","272.42","0"
"2024-11-22","272.42","0"
"2024-11-22","272.42","0"
"2024-11-22","272.42","0"
"2024-11-22","272.42","0"
"2024-11-22","272.42","0"
"2024-11-22","272.42","0"
"2024-11-22","272.42","0"
"2024-11-22","272.42","0"
"2024-11-22","272.42","0"
"2024-11-22","272.42","0"
"2024-11-22","272.42","0"
"2024-11-22","272.42","0"
"2024-11-22","272.42","0"
"2024-11-22","272.42","0"
"2024-11-22","272.42","0"
"2024-11-22","272.42","0"
"2024-11-22","272.42","0"
"2024-11-22","272.42","0"
"2024-11-22","272.42","0"
"2024-11-22","272.42","0"
"2024-11-22","272.42","0"
"2024-11-22","272.42","0"
"2024-11-22","272.42","0"
"2024-11-22","272.42","0"
"2024-11-22","273.67","5"
"2024-11-22","273.67","0"
"2024-11-22","273.67","0"
"2024-11-22","273.67","0"
"2024-11-22","273.67","0"
"2024-11-22","273.67","0"
"2024-11-22","273.67","0"
"2024-11-22","273.67","0"
"2024-11-22","273.67","0"
"2024-11-22","273.67","0"
"2024-11-22","273.67","0"
"2024-11-22","273.67","0"
"2024-11-22","273.67","0"
"2024-11-22","273.67","0"
"2024-11-22","273.67","0"
"2024-11-22","273.67","0"
"2024-11-22","273.67","0"
"2024-11-22","273.67","0"
"2024-11-22","273.67","0"
"2024-11-22","273.67","0"
"2024-11-22","273.67","0"
"2024-11-22","273.67","0"
"2024-11-22","273.67","0"
"2024-11-22","273.67","0"
"2024-11-22","273.67","0"
"2024-11-22","273.67","0"
"2024-11-22","273.67","0"
"2024-11-22","273.67","0"
"2024-11-22","273.67","0"
"2024-11-22","273.67","0"
"2024-11-22","273.67","0"
"2024-11-22","273.67","0"
"2024-11-22","273.67","0"
"2024-11-22","273.67","0"
"2024-11-22","273.67","0"
"2024-11-22","273.67","0"
"2024-11-22","273.67","0"
"2024-11-22","273.67","0"
"2024-11-22","273.67","0"
"2024-11-22","273.67","0"
"2024-11-22","273.67","0"
"2024-11-22","273.67","0"
"2024-11-22","273.67","0"
"2024-11-22","273.67","0"
"2024-11-22","273.67","0"
"2024-11-22","273.67","0"
"2024-11-22","273.67","0"
"2024-11-22","273.67","0"
"2024-11-22","273.67","0"
"2024-11-22","273.67","0"
"2024-11-22","273.67","0"
"2024-11-22","273.67","0"
"2024-11-22","273.67","0"
"2024-11-22","273.67","0"
"2024-11-22","273.67","0"
"2024-11-22","275.26","4"
"2024-11-22","275.26","0"
"2024-11-22","275.26","0"
"2024-11-22","275.26","0"
"2024-11-22","275.26","0"
"2024-11-22","275.26","0"
"2024-11-22","275.26","0"
"2024-11-22","275.26","0"
"2024-11-22","275.26","0"
"2024-11-22","275.26","0"
"2024-11-22","275.26","0"
"2024-11-22","275.26","0"
"2024-11-22","275.26","0"
"2024-11-22","275.26","0"
"2024-11-22","275.26","0"
"2024-11-22","275.26","0"
"2024-11-22","275.26","0"
"2024-11-22","275.26","0"
"2024-11-22","275.26","0"
"2024-11-22","275.26","0"
"2024-11-22","275.26","0"
"2024-11-22","275.26","0"
"2024-11-22","275.26","0"
"2024-11-22","275.26","0"
"2024-11-22","275.26","0"
"2024-11-22","275.26","0"
"2024-11-22","275.26","0"
"2024-11-22","275.26","0"
"2024-11-22","275.26","0"
"2024-11-22","275.26","0"
"2024-11-22","275.26","0"
"2024-11-22","275.26","0"
"2024-11-22","275.26","0"
"2024-11-22","275.26","0"
"2024-11-22","275.26","0"
"2024-11-22","275.26","0"
"2024-11-22","275.26","0"
"2024-11-22","275.26","0"
"2024-11-22","275.26","0"
"2024-11-22","275.26","0"
"2024-11-22","275.26","0"
"2024-11-22","275.26","0"
"2024-11-22","275.26","0"
"2024-11-22","275.26","0"
"2024-11-22","275.26","0"
"2024-11-22","275.26","0"
"2024-11-22","275.26","0"
"2024-11-22","275.26","0"
"2024-11-22","275.26","0"
"2024-11-22","275.26","0"
"2024-11-22","275.26","0"
"2024-11-22","275.00","1"
"2024-11-22","275.00","0"
"2024-11-22","275.00","0"
"2024-11-22","275.00","0"
"2024-11-22","275.00","0"
"2024-11-22","275.00","0"
"2024-11-22","275.00","0"
"2024-11-22","275.00","0"
"2024-11-22","275.00","0"
"2024-11-22","275.00","0"
"2024-11-22","275.00","0"
"2024-11-22","275.00","0"
"2024-11-22","275.00","0"
"2024-11-22","275.00","0"
"2024-11-22","275.00","0"
"2024-11-22","275.00","0"
"2024-11-22","275.00","0"
"2024-11-22","275.00","0"
"2024-11-22","275.00","0"
"2024-11-22","275.00","0"
"2024-11-22","275.00","0"
"2024-11-22","275.00","0"
"2024-11-22","275.00","0"
"2024-11-22","275.00","0"
"2024-11-22","275.00","0"
"2024-11-22","275.00","0"
"2024-11-22","275.00","0"
"2024-11-22","275.00","0"
"2024-11-22","275.00","0"
"2024-11-22","275.00","0"
"2024-11-22","275.00","0"
"2024-11-22","275.00","0"
"2024-11-22","275.00","0"
"2024-11-22","275.00","0"